"","League","LID","CID","Club","MostHomeGoals","MostAwayGoals","xL","xC","yH","yG","L","yd"
"1","LA_LIGA",15,3788,"Sporting_Gijon",3,3,"1","1",3,3,15,0
"2","LA_LIGA",15,3788,"Sporting_Gijon",4,3,"1","1",4,3,15,1
"3","LA_LIGA",15,3788,"Sporting_Gijon",2,4,"1","1",2,4,15,-2
"4","LA_LIGA",15,3788,"Sporting_Gijon",3,3,"1","1",3,3,15,0
"5","LA_LIGA",15,3788,"Sporting_Gijon",5,3,"1","1",5,3,15,2
"6","LA_LIGA",15,3788,"Sporting_Gijon",3,2,"1","1",3,2,15,1
"7","LA_LIGA",15,83,"Barcelona",7,6,"1","2",7,6,15,1
"8","LA_LIGA",15,83,"Barcelona",5,6,"1","2",5,6,15,-1
"9","LA_LIGA",15,83,"Barcelona",6,4,"1","2",6,4,15,2
"10","LA_LIGA",15,83,"Barcelona",5,3,"1","2",5,3,15,2
"11","LA_LIGA",15,83,"Barcelona",4,4,"1","2",4,4,15,0
"12","LA_LIGA",15,83,"Barcelona",5,4,"1","2",5,4,15,1
"13","LA_LIGA",15,83,"Barcelona",4,6,"1","2",4,6,15,-2
"14","LA_LIGA",15,83,"Barcelona",6,5,"1","2",6,5,15,1
"15","LA_LIGA",15,83,"Barcelona",6,6,"1","2",6,6,15,0
"16","LA_LIGA",15,83,"Barcelona",6,5,"1","2",6,5,15,1
"17","LA_LIGA",15,83,"Barcelona",5,8,"1","2",5,8,15,-3
"18","LA_LIGA",15,83,"Barcelona",8,7,"1","2",8,7,15,1
"19","LA_LIGA",15,83,"Barcelona",6,5,"1","2",6,5,15,1
"20","LA_LIGA",15,83,"Barcelona",7,5,"1","2",7,5,15,2
"21","LA_LIGA",15,83,"Barcelona",6,8,"1","2",6,8,15,-2
"22","LA_LIGA",15,83,"Barcelona",6,8,"1","2",6,8,15,-2
"23","LA_LIGA",15,83,"Barcelona",7,6,"1","2",7,6,15,1
"24","LA_LIGA",15,86,"Real_Madrid",5,4,"1","3",5,4,15,1
"25","LA_LIGA",15,86,"Real_Madrid",7,3,"1","3",7,3,15,4
"26","LA_LIGA",15,86,"Real_Madrid",5,5,"1","3",5,5,15,0
"27","LA_LIGA",15,86,"Real_Madrid",7,4,"1","3",7,4,15,3
"28","LA_LIGA",15,86,"Real_Madrid",6,3,"1","3",6,3,15,3
"29","LA_LIGA",15,86,"Real_Madrid",4,3,"1","3",4,3,15,1
"30","LA_LIGA",15,86,"Real_Madrid",4,4,"1","3",4,4,15,0
"31","LA_LIGA",15,86,"Real_Madrid",7,5,"1","3",7,5,15,2
"32","LA_LIGA",15,86,"Real_Madrid",7,5,"1","3",7,5,15,2
"33","LA_LIGA",15,86,"Real_Madrid",6,5,"1","3",6,5,15,1
"34","LA_LIGA",15,86,"Real_Madrid",8,6,"1","3",8,6,15,2
"35","LA_LIGA",15,86,"Real_Madrid",7,6,"1","3",7,6,15,1
"36","LA_LIGA",15,86,"Real_Madrid",6,5,"1","3",6,5,15,1
"37","LA_LIGA",15,86,"Real_Madrid",7,5,"1","3",7,5,15,2
"38","LA_LIGA",15,86,"Real_Madrid",9,8,"1","3",9,8,15,1
"39","LA_LIGA",15,86,"Real_Madrid",10,6,"1","3",10,6,15,4
"40","LA_LIGA",15,86,"Real_Madrid",5,6,"1","3",5,6,15,-1
"41","LA_LIGA",15,3747,"Granada",4,3,"1","4",4,3,15,1
"42","LA_LIGA",15,3747,"Granada",3,3,"1","4",3,3,15,0
"43","LA_LIGA",15,3747,"Granada",4,3,"1","4",4,3,15,1
"44","LA_LIGA",15,3747,"Granada",2,3,"1","4",2,3,15,-1
"45","LA_LIGA",15,3747,"Granada",5,4,"1","4",5,4,15,1
"46","LA_LIGA",15,3747,"Granada",4,2,"1","4",4,2,15,2
"47","LA_LIGA",15,1068,"Atletico_Madrid",3,4,"1","5",3,4,15,-1
"48","LA_LIGA",15,1068,"Atletico_Madrid",4,4,"1","5",4,4,15,0
"49","LA_LIGA",15,1068,"Atletico_Madrid",4,2,"1","5",4,2,15,2
"50","LA_LIGA",15,1068,"Atletico_Madrid",5,3,"1","5",5,3,15,2
"51","LA_LIGA",15,1068,"Atletico_Madrid",3,4,"1","5",3,4,15,-1
"52","LA_LIGA",15,1068,"Atletico_Madrid",6,3,"1","5",6,3,15,3
"53","LA_LIGA",15,1068,"Atletico_Madrid",4,5,"1","5",4,5,15,-1
"54","LA_LIGA",15,1068,"Atletico_Madrid",4,4,"1","5",4,4,15,0
"55","LA_LIGA",15,1068,"Atletico_Madrid",4,4,"1","5",4,4,15,0
"56","LA_LIGA",15,1068,"Atletico_Madrid",4,4,"1","5",4,4,15,0
"57","LA_LIGA",15,1068,"Atletico_Madrid",6,4,"1","5",6,4,15,2
"58","LA_LIGA",15,1068,"Atletico_Madrid",7,4,"1","5",7,4,15,3
"59","LA_LIGA",15,1068,"Atletico_Madrid",4,4,"1","5",4,4,15,0
"60","LA_LIGA",15,1068,"Atletico_Madrid",5,3,"1","5",5,3,15,2
"61","LA_LIGA",15,1068,"Atletico_Madrid",7,5,"1","5",7,5,15,2
"62","LA_LIGA",15,97,"Osasuna",3,3,"1","6",3,3,15,0
"63","LA_LIGA",15,97,"Osasuna",4,2,"1","6",4,2,15,2
"64","LA_LIGA",15,97,"Osasuna",4,3,"1","6",4,3,15,1
"65","LA_LIGA",15,97,"Osasuna",3,3,"1","6",3,3,15,0
"66","LA_LIGA",15,97,"Osasuna",4,3,"1","6",4,3,15,1
"67","LA_LIGA",15,97,"Osasuna",3,4,"1","6",3,4,15,-1
"68","LA_LIGA",15,97,"Osasuna",5,5,"1","6",5,5,15,0
"69","LA_LIGA",15,97,"Osasuna",4,3,"1","6",4,3,15,1
"70","LA_LIGA",15,97,"Osasuna",5,4,"1","6",5,4,15,1
"71","LA_LIGA",15,97,"Osasuna",3,2,"1","6",3,2,15,1
"72","LA_LIGA",15,97,"Osasuna",4,4,"1","6",4,4,15,0
"73","LA_LIGA",15,97,"Osasuna",3,4,"1","6",3,4,15,-1
"74","LA_LIGA",15,97,"Osasuna",4,3,"1","6",4,3,15,1
"75","LA_LIGA",15,97,"Osasuna",3,2,"1","6",3,2,15,1
"76","LA_LIGA",15,97,"Osasuna",3,3,"1","6",3,3,15,0
"77","LA_LIGA",15,17534,"Leganes",4,2,"1","7",4,2,15,2
"78","LA_LIGA",15,243,"Sevilla",4,4,"1","8",4,4,15,0
"79","LA_LIGA",15,243,"Sevilla",3,3,"1","8",3,3,15,0
"80","LA_LIGA",15,243,"Sevilla",5,4,"1","8",5,4,15,1
"81","LA_LIGA",15,243,"Sevilla",3,3,"1","8",3,3,15,0
"82","LA_LIGA",15,243,"Sevilla",4,4,"1","8",4,4,15,0
"83","LA_LIGA",15,243,"Sevilla",4,4,"1","8",4,4,15,0
"84","LA_LIGA",15,243,"Sevilla",5,4,"1","8",5,4,15,1
"85","LA_LIGA",15,243,"Sevilla",4,4,"1","8",4,4,15,0
"86","LA_LIGA",15,243,"Sevilla",4,5,"1","8",4,5,15,-1
"87","LA_LIGA",15,243,"Sevilla",4,4,"1","8",4,4,15,0
"88","LA_LIGA",15,243,"Sevilla",5,3,"1","8",5,3,15,2
"89","LA_LIGA",15,243,"Sevilla",5,3,"1","8",5,3,15,2
"90","LA_LIGA",15,243,"Sevilla",4,3,"1","8",4,3,15,1
"91","LA_LIGA",15,243,"Sevilla",5,4,"1","8",5,4,15,1
"92","LA_LIGA",15,243,"Sevilla",5,2,"1","8",5,2,15,3
"93","LA_LIGA",15,243,"Sevilla",6,4,"1","8",6,4,15,2
"94","LA_LIGA",15,90,"Deportivo_La_Coruña",5,3,"1","9",5,3,15,2
"95","LA_LIGA",15,90,"Deportivo_La_Coruña",6,4,"1","9",6,4,15,2
"96","LA_LIGA",15,90,"Deportivo_La_Coruña",5,5,"1","9",5,5,15,0
"97","LA_LIGA",15,90,"Deportivo_La_Coruña",4,2,"1","9",4,2,15,2
"98","LA_LIGA",15,90,"Deportivo_La_Coruña",3,3,"1","9",3,3,15,0
"99","LA_LIGA",15,90,"Deportivo_La_Coruña",3,3,"1","9",3,3,15,0
"100","LA_LIGA",15,90,"Deportivo_La_Coruña",3,3,"1","9",3,3,15,0
"101","LA_LIGA",15,90,"Deportivo_La_Coruña",5,3,"1","9",5,3,15,2
"102","LA_LIGA",15,90,"Deportivo_La_Coruña",3,3,"1","9",3,3,15,0
"103","LA_LIGA",15,90,"Deportivo_La_Coruña",3,2,"1","9",3,2,15,1
"104","LA_LIGA",15,90,"Deportivo_La_Coruña",4,4,"1","9",4,4,15,0
"105","LA_LIGA",15,90,"Deportivo_La_Coruña",3,2,"1","9",3,2,15,1
"106","LA_LIGA",15,90,"Deportivo_La_Coruña",3,3,"1","9",3,3,15,0
"107","LA_LIGA",15,90,"Deportivo_La_Coruña",5,3,"1","9",5,3,15,2
"108","LA_LIGA",15,102,"Villarreal",4,5,"1","10",4,5,15,-1
"109","LA_LIGA",15,102,"Villarreal",5,2,"1","10",5,2,15,3
"110","LA_LIGA",15,102,"Villarreal",6,2,"1","10",6,2,15,4
"111","LA_LIGA",15,102,"Villarreal",6,3,"1","10",6,3,15,3
"112","LA_LIGA",15,102,"Villarreal",4,4,"1","10",4,4,15,0
"113","LA_LIGA",15,102,"Villarreal",4,3,"1","10",4,3,15,1
"114","LA_LIGA",15,102,"Villarreal",3,4,"1","10",3,4,15,-1
"115","LA_LIGA",15,102,"Villarreal",4,4,"1","10",4,4,15,0
"116","LA_LIGA",15,102,"Villarreal",4,4,"1","10",4,4,15,0
"117","LA_LIGA",15,102,"Villarreal",5,3,"1","10",5,3,15,2
"118","LA_LIGA",15,102,"Villarreal",4,3,"1","10",4,3,15,1
"119","LA_LIGA",15,102,"Villarreal",3,3,"1","10",3,3,15,0
"120","LA_LIGA",15,102,"Villarreal",5,5,"1","10",5,5,15,0
"121","LA_LIGA",15,102,"Villarreal",4,3,"1","10",4,3,15,1
"122","LA_LIGA",15,102,"Villarreal",3,3,"1","10",3,3,15,0
"123","LA_LIGA",15,102,"Villarreal",5,4,"1","10",5,4,15,1
"124","LA_LIGA",15,244,"Real_Betis",4,3,"1","11",4,3,15,1
"125","LA_LIGA",15,244,"Real_Betis",4,4,"1","11",4,4,15,0
"126","LA_LIGA",15,244,"Real_Betis",3,4,"1","11",3,4,15,-1
"127","LA_LIGA",15,244,"Real_Betis",4,4,"1","11",4,4,15,0
"128","LA_LIGA",15,244,"Real_Betis",3,3,"1","11",3,3,15,0
"129","LA_LIGA",15,244,"Real_Betis",3,2,"1","11",3,2,15,1
"130","LA_LIGA",15,244,"Real_Betis",4,3,"1","11",4,3,15,1
"131","LA_LIGA",15,244,"Real_Betis",3,4,"1","11",3,4,15,-1
"132","LA_LIGA",15,244,"Real_Betis",4,3,"1","11",4,3,15,1
"133","LA_LIGA",15,244,"Real_Betis",4,5,"1","11",4,5,15,-1
"134","LA_LIGA",15,244,"Real_Betis",4,3,"1","11",4,3,15,1
"135","LA_LIGA",15,244,"Real_Betis",2,3,"1","11",2,3,15,-1
"136","LA_LIGA",15,244,"Real_Betis",3,3,"1","11",3,3,15,0
"137","LA_LIGA",15,89,"Real_Sociedad",4,4,"1","12",4,4,15,0
"138","LA_LIGA",15,89,"Real_Sociedad",6,3,"1","12",6,3,15,3
"139","LA_LIGA",15,89,"Real_Sociedad",5,3,"1","12",5,3,15,2
"140","LA_LIGA",15,89,"Real_Sociedad",3,5,"1","12",3,5,15,-2
"141","LA_LIGA",15,89,"Real_Sociedad",3,5,"1","12",3,5,15,-2
"142","LA_LIGA",15,89,"Real_Sociedad",3,2,"1","12",3,2,15,1
"143","LA_LIGA",15,89,"Real_Sociedad",3,3,"1","12",3,3,15,0
"144","LA_LIGA",15,89,"Real_Sociedad",3,4,"1","12",3,4,15,-1
"145","LA_LIGA",15,89,"Real_Sociedad",5,3,"1","12",5,3,15,2
"146","LA_LIGA",15,89,"Real_Sociedad",4,5,"1","12",4,5,15,-1
"147","LA_LIGA",15,89,"Real_Sociedad",5,3,"1","12",5,3,15,2
"148","LA_LIGA",15,89,"Real_Sociedad",4,4,"1","12",4,4,15,0
"149","LA_LIGA",15,89,"Real_Sociedad",3,5,"1","12",3,5,15,-2
"150","LA_LIGA",15,89,"Real_Sociedad",4,3,"1","12",4,3,15,1
"151","LA_LIGA",15,98,"Las_Palmas",3,3,"1","13",3,3,15,0
"152","LA_LIGA",15,98,"Las_Palmas",4,3,"1","13",4,3,15,1
"153","LA_LIGA",15,98,"Las_Palmas",4,3,"1","13",4,3,15,1
"154","LA_LIGA",15,98,"Las_Palmas",5,4,"1","13",5,4,15,1
"155","LA_LIGA",15,85,"Celta_Vigo",3,4,"1","14",3,4,15,-1
"156","LA_LIGA",15,85,"Celta_Vigo",4,6,"1","14",4,6,15,-2
"157","LA_LIGA",15,85,"Celta_Vigo",4,3,"1","14",4,3,15,1
"158","LA_LIGA",15,85,"Celta_Vigo",3,4,"1","14",3,4,15,-1
"159","LA_LIGA",15,85,"Celta_Vigo",4,3,"1","14",4,3,15,1
"160","LA_LIGA",15,85,"Celta_Vigo",3,3,"1","14",3,3,15,0
"161","LA_LIGA",15,85,"Celta_Vigo",3,2,"1","14",3,2,15,1
"162","LA_LIGA",15,85,"Celta_Vigo",4,5,"1","14",4,5,15,-1
"163","LA_LIGA",15,85,"Celta_Vigo",6,2,"1","14",6,2,15,4
"164","LA_LIGA",15,85,"Celta_Vigo",4,3,"1","14",4,3,15,1
"165","LA_LIGA",15,85,"Celta_Vigo",4,3,"1","14",4,3,15,1
"166","LA_LIGA",15,93,"Athletic_Bilbao",4,2,"1","15",4,2,15,2
"167","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"168","LA_LIGA",15,93,"Athletic_Bilbao",4,5,"1","15",4,5,15,-1
"169","LA_LIGA",15,93,"Athletic_Bilbao",4,3,"1","15",4,3,15,1
"170","LA_LIGA",15,93,"Athletic_Bilbao",4,3,"1","15",4,3,15,1
"171","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"172","LA_LIGA",15,93,"Athletic_Bilbao",4,4,"1","15",4,4,15,0
"173","LA_LIGA",15,93,"Athletic_Bilbao",5,3,"1","15",5,3,15,2
"174","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"175","LA_LIGA",15,93,"Athletic_Bilbao",4,4,"1","15",4,4,15,0
"176","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"177","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"178","LA_LIGA",15,93,"Athletic_Bilbao",3,3,"1","15",3,3,15,0
"179","LA_LIGA",15,93,"Athletic_Bilbao",6,5,"1","15",6,5,15,1
"180","LA_LIGA",15,93,"Athletic_Bilbao",4,3,"1","15",4,3,15,1
"181","LA_LIGA",15,93,"Athletic_Bilbao",5,3,"1","15",5,3,15,2
"182","LA_LIGA",15,93,"Athletic_Bilbao",5,3,"1","15",5,3,15,2
"183","LA_LIGA",15,94,"Valencia",5,2,"1","16",5,2,15,3
"184","LA_LIGA",15,94,"Valencia",4,3,"1","16",4,3,15,1
"185","LA_LIGA",15,94,"Valencia",5,4,"1","16",5,4,15,1
"186","LA_LIGA",15,94,"Valencia",5,6,"1","16",5,6,15,-1
"187","LA_LIGA",15,94,"Valencia",3,5,"1","16",3,5,15,-2
"188","LA_LIGA",15,94,"Valencia",5,3,"1","16",5,3,15,2
"189","LA_LIGA",15,94,"Valencia",4,2,"1","16",4,2,15,2
"190","LA_LIGA",15,94,"Valencia",3,5,"1","16",3,5,15,-2
"191","LA_LIGA",15,94,"Valencia",4,3,"1","16",4,3,15,1
"192","LA_LIGA",15,94,"Valencia",4,4,"1","16",4,4,15,0
"193","LA_LIGA",15,94,"Valencia",5,4,"1","16",5,4,15,1
"194","LA_LIGA",15,94,"Valencia",4,3,"1","16",4,3,15,1
"195","LA_LIGA",15,94,"Valencia",5,4,"1","16",5,4,15,1
"196","LA_LIGA",15,94,"Valencia",5,3,"1","16",5,3,15,2
"197","LA_LIGA",15,94,"Valencia",4,4,"1","16",4,4,15,0
"198","LA_LIGA",15,94,"Valencia",4,5,"1","16",4,5,15,-1
"199","LA_LIGA",15,94,"Valencia",4,3,"1","16",4,3,15,1
"200","LA_LIGA",15,88,"Espanyol",5,3,"1","17",5,3,15,2
"201","LA_LIGA",15,88,"Espanyol",3,2,"1","17",3,2,15,1
"202","LA_LIGA",15,88,"Espanyol",3,4,"1","17",3,4,15,-1
"203","LA_LIGA",15,88,"Espanyol",3,5,"1","17",3,5,15,-2
"204","LA_LIGA",15,88,"Espanyol",4,4,"1","17",4,4,15,0
"205","LA_LIGA",15,88,"Espanyol",5,2,"1","17",5,2,15,3
"206","LA_LIGA",15,88,"Espanyol",3,3,"1","17",3,3,15,0
"207","LA_LIGA",15,88,"Espanyol",3,3,"1","17",3,3,15,0
"208","LA_LIGA",15,88,"Espanyol",3,3,"1","17",3,3,15,0
"209","LA_LIGA",15,88,"Espanyol",3,3,"1","17",3,3,15,0
"210","LA_LIGA",15,88,"Espanyol",4,3,"1","17",4,3,15,1
"211","LA_LIGA",15,88,"Espanyol",5,3,"1","17",5,3,15,2
"212","LA_LIGA",15,88,"Espanyol",3,4,"1","17",3,4,15,-1
"213","LA_LIGA",15,88,"Espanyol",4,4,"1","17",4,4,15,0
"214","LA_LIGA",15,88,"Espanyol",3,3,"1","17",3,3,15,0
"215","LA_LIGA",15,88,"Espanyol",4,4,"1","17",4,4,15,0
"216","LA_LIGA",15,88,"Espanyol",4,4,"1","17",4,4,15,0
"217","LA_LIGA",15,3752,"Eibar",5,3,"1","18",5,3,15,2
"218","LA_LIGA",15,3752,"Eibar",5,4,"1","18",5,4,15,1
"219","LA_LIGA",15,3752,"Eibar",4,4,"1","18",4,4,15,0
"220","LA_LIGA",15,96,"Alaves",4,3,"1","19",4,3,15,1
"221","LA_LIGA",15,96,"Alaves",3,3,"1","19",3,3,15,0
"222","LA_LIGA",15,96,"Alaves",3,3,"1","19",3,3,15,0
"223","LA_LIGA",15,96,"Alaves",3,2,"1","19",3,2,15,1
"224","LA_LIGA",15,96,"Alaves",3,4,"1","19",3,4,15,-1
"225","LA_LIGA",15,99,"Malaga",3,3,"1","20",3,3,15,0
"226","LA_LIGA",15,99,"Malaga",3,2,"1","20",3,2,15,1
"227","LA_LIGA",15,99,"Malaga",4,3,"1","20",4,3,15,1
"228","LA_LIGA",15,99,"Malaga",5,2,"1","20",5,2,15,3
"229","LA_LIGA",15,99,"Malaga",4,6,"1","20",4,6,15,-2
"230","LA_LIGA",15,99,"Malaga",5,4,"1","20",5,4,15,1
"231","LA_LIGA",15,99,"Malaga",4,4,"1","20",4,4,15,0
"232","LA_LIGA",15,99,"Malaga",3,3,"1","20",3,3,15,0
"233","LA_LIGA",15,99,"Malaga",4,5,"1","20",4,5,15,-1
"234","LA_LIGA",15,99,"Malaga",5,3,"1","20",5,3,15,2
"235","LA_LIGA",15,99,"Malaga",4,3,"1","20",4,3,15,1
"236","LA_LIGA",15,99,"Malaga",5,2,"1","20",5,2,15,3
"237","LA_LIGA",15,99,"Malaga",4,2,"1","20",4,2,15,2
"238","LA_LIGA",15,99,"Malaga",4,3,"1","20",4,3,15,1
"239","LA_LIGA",15,99,"Malaga",4,2,"1","20",4,2,15,2
"240","SERIE_A",12,111,"Juventus",4,4,"2","21",4,4,12,0
"241","SERIE_A",12,111,"Juventus",5,4,"2","21",5,4,12,1
"242","SERIE_A",12,111,"Juventus",5,4,"2","21",5,4,12,1
"243","SERIE_A",12,111,"Juventus",5,3,"2","21",5,3,12,2
"244","SERIE_A",12,111,"Juventus",5,3,"2","21",5,3,12,2
"245","SERIE_A",12,111,"Juventus",4,4,"2","21",4,4,12,0
"246","SERIE_A",12,111,"Juventus",5,4,"2","21",5,4,12,1
"247","SERIE_A",12,111,"Juventus",4,4,"2","21",4,4,12,0
"248","SERIE_A",12,111,"Juventus",5,5,"2","21",5,5,12,0
"249","SERIE_A",12,111,"Juventus",4,4,"2","21",4,4,12,0
"250","SERIE_A",12,111,"Juventus",4,5,"2","21",4,5,12,-1
"251","SERIE_A",12,111,"Juventus",4,6,"2","21",4,6,12,-2
"252","SERIE_A",12,111,"Juventus",4,4,"2","21",4,4,12,0
"253","SERIE_A",12,111,"Juventus",7,3,"2","21",7,3,12,4
"254","SERIE_A",12,111,"Juventus",5,4,"2","21",5,4,12,1
"255","SERIE_A",12,111,"Juventus",4,3,"2","21",4,3,12,1
"256","SERIE_A",12,104,"AS_Roma",3,4,"2","22",3,4,12,-1
"257","SERIE_A",12,104,"AS_Roma",5,5,"2","22",5,5,12,0
"258","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"259","SERIE_A",12,104,"AS_Roma",6,4,"2","22",6,4,12,2
"260","SERIE_A",12,104,"AS_Roma",5,4,"2","22",5,4,12,1
"261","SERIE_A",12,104,"AS_Roma",4,4,"2","22",4,4,12,0
"262","SERIE_A",12,104,"AS_Roma",7,4,"2","22",7,4,12,3
"263","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"264","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"265","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"266","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"267","SERIE_A",12,104,"AS_Roma",5,3,"2","22",5,3,12,2
"268","SERIE_A",12,104,"AS_Roma",4,4,"2","22",4,4,12,0
"269","SERIE_A",12,104,"AS_Roma",5,3,"2","22",5,3,12,2
"270","SERIE_A",12,104,"AS_Roma",4,3,"2","22",4,3,12,1
"271","SERIE_A",12,104,"AS_Roma",5,4,"2","22",5,4,12,1
"272","SERIE_A",12,104,"AS_Roma",4,5,"2","22",4,5,12,-1
"273","SERIE_A",12,114,"Napoli",6,2,"2","23",6,2,12,4
"274","SERIE_A",12,114,"Napoli",3,5,"2","23",3,5,12,-2
"275","SERIE_A",12,114,"Napoli",3,2,"2","23",3,2,12,1
"276","SERIE_A",12,114,"Napoli",3,3,"2","23",3,3,12,0
"277","SERIE_A",12,114,"Napoli",4,4,"2","23",4,4,12,0
"278","SERIE_A",12,114,"Napoli",6,3,"2","23",6,3,12,3
"279","SERIE_A",12,114,"Napoli",5,5,"2","23",5,5,12,0
"280","SERIE_A",12,114,"Napoli",5,5,"2","23",5,5,12,0
"281","SERIE_A",12,114,"Napoli",6,4,"2","23",6,4,12,2
"282","SERIE_A",12,114,"Napoli",6,5,"2","23",6,5,12,1
"283","SERIE_A",12,114,"Napoli",5,7,"2","23",5,7,12,-2
"284","SERIE_A",12,105,"Atalanta",3,4,"2","24",3,4,12,-1
"285","SERIE_A",12,105,"Atalanta",4,3,"2","24",4,3,12,1
"286","SERIE_A",12,105,"Atalanta",2,3,"2","24",2,3,12,-1
"287","SERIE_A",12,105,"Atalanta",3,3,"2","24",3,3,12,0
"288","SERIE_A",12,105,"Atalanta",5,3,"2","24",5,3,12,2
"289","SERIE_A",12,105,"Atalanta",5,3,"2","24",5,3,12,2
"290","SERIE_A",12,105,"Atalanta",4,3,"2","24",4,3,12,1
"291","SERIE_A",12,105,"Atalanta",3,3,"2","24",3,3,12,0
"292","SERIE_A",12,105,"Atalanta",4,3,"2","24",4,3,12,1
"293","SERIE_A",12,105,"Atalanta",3,4,"2","24",3,4,12,-1
"294","SERIE_A",12,105,"Atalanta",3,3,"2","24",3,3,12,0
"295","SERIE_A",12,105,"Atalanta",3,3,"2","24",3,3,12,0
"296","SERIE_A",12,105,"Atalanta",3,2,"2","24",3,2,12,1
"297","SERIE_A",12,105,"Atalanta",3,5,"2","24",3,5,12,-2
"298","SERIE_A",12,112,"Lazio",5,4,"2","25",5,4,12,1
"299","SERIE_A",12,112,"Lazio",5,4,"2","25",5,4,12,1
"300","SERIE_A",12,112,"Lazio",4,3,"2","25",4,3,12,1
"301","SERIE_A",12,112,"Lazio",5,3,"2","25",5,3,12,2
"302","SERIE_A",12,112,"Lazio",3,3,"2","25",3,3,12,0
"303","SERIE_A",12,112,"Lazio",4,4,"2","25",4,4,12,0
"304","SERIE_A",12,112,"Lazio",5,4,"2","25",5,4,12,1
"305","SERIE_A",12,112,"Lazio",3,2,"2","25",3,2,12,1
"306","SERIE_A",12,112,"Lazio",4,4,"2","25",4,4,12,0
"307","SERIE_A",12,112,"Lazio",4,3,"2","25",4,3,12,1
"308","SERIE_A",12,112,"Lazio",4,4,"2","25",4,4,12,0
"309","SERIE_A",12,112,"Lazio",3,3,"2","25",3,3,12,0
"310","SERIE_A",12,112,"Lazio",6,3,"2","25",6,3,12,3
"311","SERIE_A",12,112,"Lazio",3,3,"2","25",3,3,12,0
"312","SERIE_A",12,112,"Lazio",4,4,"2","25",4,4,12,0
"313","SERIE_A",12,112,"Lazio",5,3,"2","25",5,3,12,2
"314","SERIE_A",12,112,"Lazio",7,6,"2","25",7,6,12,1
"315","SERIE_A",12,103,"AC_Milan",4,3,"2","26",4,3,12,1
"316","SERIE_A",12,103,"AC_Milan",5,4,"2","26",5,4,12,1
"317","SERIE_A",12,103,"AC_Milan",6,4,"2","26",6,4,12,2
"318","SERIE_A",12,103,"AC_Milan",5,3,"2","26",5,3,12,2
"319","SERIE_A",12,103,"AC_Milan",6,4,"2","26",6,4,12,2
"320","SERIE_A",12,103,"AC_Milan",5,4,"2","26",5,4,12,1
"321","SERIE_A",12,103,"AC_Milan",3,5,"2","26",3,5,12,-2
"322","SERIE_A",12,103,"AC_Milan",5,5,"2","26",5,5,12,0
"323","SERIE_A",12,103,"AC_Milan",5,5,"2","26",5,5,12,0
"324","SERIE_A",12,103,"AC_Milan",5,3,"2","26",5,3,12,2
"325","SERIE_A",12,103,"AC_Milan",4,3,"2","26",4,3,12,1
"326","SERIE_A",12,103,"AC_Milan",4,4,"2","26",4,4,12,0
"327","SERIE_A",12,103,"AC_Milan",5,4,"2","26",5,4,12,1
"328","SERIE_A",12,103,"AC_Milan",3,3,"2","26",3,3,12,0
"329","SERIE_A",12,103,"AC_Milan",3,5,"2","26",3,5,12,-2
"330","SERIE_A",12,103,"AC_Milan",4,4,"2","26",4,4,12,0
"331","SERIE_A",12,103,"AC_Milan",4,4,"2","26",4,4,12,0
"332","SERIE_A",12,110,"Internazionale",3,3,"2","27",3,3,12,0
"333","SERIE_A",12,110,"Internazionale",4,4,"2","27",4,4,12,0
"334","SERIE_A",12,110,"Internazionale",4,4,"2","27",4,4,12,0
"335","SERIE_A",12,110,"Internazionale",6,3,"2","27",6,3,12,3
"336","SERIE_A",12,110,"Internazionale",5,3,"2","27",5,3,12,2
"337","SERIE_A",12,110,"Internazionale",5,4,"2","27",5,4,12,1
"338","SERIE_A",12,110,"Internazionale",4,5,"2","27",4,5,12,-1
"339","SERIE_A",12,110,"Internazionale",4,4,"2","27",4,4,12,0
"340","SERIE_A",12,110,"Internazionale",4,4,"2","27",4,4,12,0
"341","SERIE_A",12,110,"Internazionale",5,5,"2","27",5,5,12,0
"342","SERIE_A",12,110,"Internazionale",5,3,"2","27",5,3,12,2
"343","SERIE_A",12,110,"Internazionale",5,3,"2","27",5,3,12,2
"344","SERIE_A",12,110,"Internazionale",3,3,"2","27",3,3,12,0
"345","SERIE_A",12,110,"Internazionale",4,7,"2","27",4,7,12,-3
"346","SERIE_A",12,110,"Internazionale",7,4,"2","27",7,4,12,3
"347","SERIE_A",12,110,"Internazionale",4,4,"2","27",4,4,12,0
"348","SERIE_A",12,110,"Internazionale",7,5,"2","27",7,5,12,2
"349","SERIE_A",12,109,"Fiorentina",4,3,"2","28",4,3,12,1
